"Year","Month","Commercial Imports","Government Imports","Total","Domestic FOB","Re-Exports","Total FOB","Trade Balance"
"2009","December","77,950.91","323.71","78,274.61","29,232.19","1,038.75","30,270.94","-48,003.67"
"2009","November","68,239.86","908.47","69,148.32","27,789.32","2,089.43","29,878.75","-39,269.57"
"2009","October","72,087.37","272.01","72,359.38","26,761.95","1,582.35","28,344.30","-44,015.08"
"2009","September","69,327.64","33.80","69,361.44","27,836.97","1,239.83","29,076.80","-40,284.63"
"2009","August","59,336.95","431.23","59,768.18","24,653.78","3,392.62","28,046.40","-31,721.77"
"2009","July","62,334.88","1,403.21","63,738.10","28,362.04","3,171.01","31,533.06","-32,205.04"
"2009","June","61,889.33","1,021.46","62,910.79","26,870.74","1,295.50","28,166.23","-34,744.55"
"2009","May","58,611.64","87.98","58,699.61","24,525.44","1,252.84","25,778.27","-32,921.34"
"2009","April","64,497.35","1,301.85","65,799.21","25,206.94","1,141.33","26,348.27","-39,450.94"
"2009","March","60,724.10","572.69","61,296.80","28,847.95","2,621.76","31,469.71","-29,827.08"
"2009","February","59,334.06","1,229.07","60,563.13","27,362.15","1,314.05","28,676.20","-31,886.93"
"2009","January","66,024.44","152.74","66,177.18","26,120.79","1,238.96","27,359.75","-38,817.43"
"2008","December","66,971.08","1,596.81","68,567.90","27,405.44","1,938.39","29,343.83","-39,224.06"
"2008","November","66,983.56","1,404.34","68,387.90","27,434.29","1,624.36","29,058.65","-39,329.25"
"2008","October","74,673.09","182.74","74,855.83","29,556.05","2,984.15","32,540.21","-42,315.62"
"2008","September","74,273.61","499.43","74,773.03","26,618.40","1,869.18","28,487.59","-46,285.45"
"2008","August","72,069.54","575.12","72,644.67","27,487.90","2,265.53","29,753.42","-42,891.24"
"2008","July","69,724.43","575.66","70,300.09","28,667.31","1,671.58","30,338.89","-39,961.20"
"2008","June","49,756.71","200.55","49,957.26","23,832.87","1,477.07","25,309.94","-24,647.31"
"2008","May","56,238.61","638.81","56,877.43","24,436.30","1,303.31","25,739.61","-31,137.82"
"2008","April","54,747.06","38.40","54,785.45","27,893.33","1,292.86","29,186.19","-25,599.27"
"2008","March","53,075.25","125.54","53,200.79","25,654.53","1,460.93","27,115.46","-26,085.32"
"2008","February","57,537.23","514.21","58,051.43","31,277.01","1,050.16","32,327.17","-25,724.26"
"2008","January","63,748.21","592.80","64,341.01","22,767.81","985.72","23,753.53","-40,587.48"
"2007","December","37,518.53","238.84","37,757.37","16,940.00","1,126.00","18,066.00","-19,691.37"
"2007","November","57,097.19","634.72","57,731.91","24,970.24","1,103.51","26,073.75","-31,658.16"
"2007","October","58,901.57","147.49","59,049.06","23,516.06","1,168.19","24,684.25","-34,364.81"
"2007","September","47,537.13","923.03","48,460.16","20,258.79","1,005.65","21,264.45","-27,195.71"
"2007","August","52,406.65","197.41","52,604.06","22,940.52","950.11","23,890.63","-28,713.43"
"2007","July","52,029.39","1,161.18","53,190.58","22,673.25","1,011.29","23,684.54","-29,506.04"
"2007","June","49,549.73","651.41","50,201.13","22,071.82","742.21","22,814.03","-27,387.11"
"2007","May","50,453.44","1,045.11","51,498.55","24,009.95","1,034.52","25,044.47","-26,454.08"
"2007","April","43,019.46","570.02","43,589.49","19,662.10","804.64","20,466.74","-23,122.74"
"2007","March","45,724.52","102.61","45,827.13","22,600.52","912.10","23,512.62","-22,314.51"
"2007","February","56,198.82","718.46","56,917.28","21,875.20","2,341.47","24,216.67","-32,700.61"
"2007","January","47,449.63","844.56","48,294.19","20,100.53","777.16","20,877.69","-27,416.50"
"2006","December","42,134.38","2,879.62","45,014.00","18,657.76","968.23","19,625.99","-25,388.01"
"2006","November","48,435.60","716.89","49,152.49","21,672.63","1,179.73","22,852.36","-26,300.13"
"2006","October","46,821.55","1,065.33","47,886.88","19,043.83","866.21","19,910.04","-27,976.84"
"2006","September","43,658.90","509.61","44,168.52","20,548.90","1,006.31","21,555.21","-22,613.31"
"2006","August","49,136.07","745.41","49,881.48","20,739.25","2,569.69","23,308.94","-26,572.54"
"2006","July","39,548.68","327.79","39,876.47","21,015.61","2,192.05","23,207.66","-16,668.81"
"2006","June","41,768.83","541.10","42,309.93","19,587.75","2,201.64","21,789.39","-20,520.54"
"2006","May","40,376.02","2,058.07","42,434.09","18,925.99","2,473.69","21,399.68","-21,034.40"
"2006","April","47,047.02","228.36","47,275.38","15,176.82","2,732.10","17,908.92","-29,366.46"
"2006","March","39,243.88","1,453.75","40,697.62","18,659.37","2,464.77","21,124.14","-19,573.48"
"2006","February","38,423.91","118.48","38,542.39","15,526.65","2,513.08","18,039.72","-20,502.66"
"2006","January","39,625.85","4.65","39,630.49","15,525.89","1,652.31","17,178.20","-22,452.29"
"2005","December","40,027.55","98.88","40,126.43","16,174.57","2,012.74","18,187.31","-21,939.12"
"2005","November","36,446.25","120.96","36,567.21","15,006.35","3,134.61","18,140.95","-18,426.26"
"2005","October","36,076.57","123.84","36,200.41","15,541.54","3,101.36","18,642.90","-17,557.51"
"2005","September","36,325.33","46.32","36,371.65","17,139.52","2,829.67","19,969.19","-16,402.46"
"2005","August","45,558.82","155.99","45,714.81","17,428.17","3,149.02","20,577.19","-25,137.62"
"2005","July","31,434.68","1.28","31,435.96","15,026.35","4,705.43","19,731.78","-11,704.18"
"2005","June","45,876.66","100.52","45,977.18","16,705.72","5,197.01","21,902.73","-24,074.45"
"2005","May","37,656.25","247.00","37,903.25","16,845.76","5,027.31","21,873.08","-16,030.17"
"2005","April","50,507.57","425.48","50,933.05","15,971.50","5,235.55","21,207.05","-29,726.00"
"2005","March","35,544.67","334.42","35,879.08","17,772.81","5,353.99","23,126.80","-12,752.28"
"2005","February","27,951.21","928.76","28,879.97","15,213.70","5,318.87","20,532.56","-8,347.40"
"2005","January","38,204.12","301.83","38,505.95","14,569.76","5,270.33","19,840.09","-18,665.86"
"2004","December","38,031.50","202.75","38,234.25","14,371.28","5,146.70","19,517.97","-18,716.27"
"2004","November","33,324.36","253.51","33,577.87","15,264.76","5,303.02","20,567.78","-13,010.10"
"2004","October","27,852.55","253.51","28,106.06","13,212.09","3,727.09","16,939.18","-11,166.88"
"2004","September","30,469.82","253.51","30,723.33","12,215.47","4,336.78","16,552.26","-14,171.07"
"2004","August","33,240.79","253.51","33,494.30","12,140.55","5,415.80","17,556.35","-15,937.95"
"2004","July","28,871.27","526.98","29,398.25","14,298.70","4,768.51","19,067.21","-10,331.04"
"2004","June","30,175.80","526.98","30,702.78","13,616.16","4,106.07","17,722.23","-12,980.55"
"2004","May","25,954.17","354.66","26,308.82","13,455.29","4,467.33","17,922.62","-8,386.20"
"2004","April","29,133.36","251.66","29,385.02","13,232.09","4,938.67","18,170.75","-11,214.27"
"2004","March","29,575.09","200.02","29,775.11","12,378.96","4,316.24","16,695.20","-13,079.91"
"2004","February","25,286.11","281.49","25,567.60","11,489.32","4,011.03","15,500.35","-10,067.25"
"2004","January","25,278.88","259.47","25,538.35","12,411.92","3,978.65","16,390.57","-9,147.78"
"2003","December","25,666.67","318.69","25,985.36","10,734.18","3,699.42","14,433.59","-11,551.76"
"2003","November","21,132.38","220.42","21,352.80","10,826.88","4,913.87","15,740.76","-5,612.04"
"2003","October","25,061.44","179.84","25,241.28","12,041.00","3,337.53","15,378.53","-9,862.75"
"2003","September","22,194.36","161.09","22,355.45","11,101.94","3,898.15","15,000.08","-7,355.37"
"2003","August","20,426.42","403.51","20,829.93","9,938.62","3,803.33","13,741.95","-7,087.98"
"2003","July","26,374.47","94.92","26,469.39","10,794.28","3,689.00","14,483.28","-11,986.11"
"2003","June","25,755.63","115.40","25,871.03","11,230.39","3,361.61","14,591.99","-11,279.04"
"2003","May","22,866.32","227.79","23,094.11","10,575.63","4,230.93","14,806.56","-8,287.56"
"2003","April","21,600.41","180.33","21,780.75","11,463.35","3,426.77","14,890.11","-6,890.63"
"2003","March","21,179.63","229.98","21,409.61","12,359.74","3,761.14","16,120.88","-5,288.74"
"2003","February","22,722.49","391.80","23,114.30","13,094.44","4,101.50","17,195.94","-5,918.36"
"2003","January","23,838.17","481.64","24,319.81","12,541.97","4,195.41","16,737.38","-7,582.43"
"2002","December","22,380.44","193.18","22,573.61","9,348.17","3,043.57","12,391.73","-10,181.88"
"2002","November","20,333.00","697.96","21,030.96","10,687.47","3,289.91","13,977.38","-7,053.58"
"2002","October","22,080.43","370.43","22,450.86","11,133.82","3,557.86","14,691.68","-7,759.17"
"2002","September","19,013.10","445.26","19,458.36","10,643.34","4,535.64","15,178.98","-4,279.38"
"2002","August","19,014.13","129.49","19,143.62","10,682.09","2,727.54","13,409.63","-5,733.99"
"2002","July","20,449.68","465.47","20,915.15","11,515.84","4,045.90","15,561.75","-5,353.41"
"2002","June","21,001.54","265.61","21,267.15","12,999.86","2,583.63","15,583.49","-5,683.66"
"2002","May","20,589.30","471.16","21,060.46","12,187.61","3,468.96","15,656.57","-5,403.89"
"2002","April","17,934.56","205.05","18,139.62","11,515.45","3,161.56","14,677.01","-3,462.60"
"2002","March","22,023.99","169.74","22,193.73","10,323.57","2,600.15","12,923.72","-9,270.01"
"2002","February","15,650.29","221.40","15,871.69","10,625.73","2,711.80","13,337.53","-2,534.15"
"2002","January","33,490.59","68.98","33,559.57","12,299.91","2,156.73","14,456.64","-19,102.92"
"2001","December","15,729.10","279.83","16,008.94","9,104.87","1,872.68","10,977.56","-5,031.38"
"2001","November","19,126.14","119.46","19,245.59","10,638.91","1,962.77","12,601.68","-6,643.91"
"2001","October","24,874.33","174.01","25,048.34","9,721.82","1,949.83","11,671.65","-13,376.69"
"2001","September","23,225.80","102.58","23,328.38","8,529.24","1,922.62","10,451.87","-12,876.51"
"2001","August","21,243.47","589.39","21,832.85","10,620.48","1,941.11","12,561.59","-9,271.26"
"2001","July","28,310.73","666.84","28,977.57","11,075.39","3,775.07","14,850.46","-14,127.11"
"2001","June","29,220.86","228.63","29,449.49","10,971.91","1,962.38","12,934.28","-16,515.20"
"2001","May","27,709.69","497.61","28,207.31","11,186.16","2,232.87","13,419.03","-14,788.28"
"2001","April","21,908.10","737.74","22,645.84","9,574.02","1,836.60","11,410.62","-11,235.22"
"2001","March","22,856.78","527.14","23,383.92","12,404.83","1,763.72","14,168.56","-9,215.37"
"2001","February","19,975.70","616.59","20,592.29","11,682.79","2,444.94","14,127.74","-6,464.56"
"2001","January","20,362.81","377.92","20,740.73","11,909.29","1,627.68","13,536.97","-7,203.76"
"2000","December","16,311.66","1,222.34","17,534.00","9,361.22","1,552.14","10,913.36","-6,620.64"
"2000","November","26,049.59","467.55","26,517.15","10,747.97","2,266.93","13,014.90","-13,502.25"
"2000","October","22,619.99","507.68","23,127.67","10,604.61","1,332.12","11,936.74","-11,190.93"
"2000","September","20,921.19","324.11","21,245.30","9,106.42","1,079.61","10,186.03","-11,059.28"
"2000","August","24,116.67","393.83","24,510.50","10,328.83","1,394.08","11,722.91","-12,787.59"
"2000","July","22,865.95","486.09","23,352.04","9,684.69","1,225.37","10,910.06","-12,441.98"
"2000","June","19,780.84","90.07","19,870.91","10,878.43","1,118.73","11,997.16","-7,873.75"
"2000","May","20,637.87","236.84","20,874.72","11,496.00","1,177.81","12,673.81","-8,200.91"
"2000","April","15,180.21","492.58","15,672.79","8,443.42","1,004.79","9,448.21","-6,224.58"
"2000","March","21,253.31","288.14","21,541.46","10,981.56","905.14","11,886.71","-9,654.75"
"2000","February","15,812.70","547.45","16,360.15","9,952.54","760.38","10,712.92","-5,647.22"
"2000","January","17,086.47","110.73","17,197.20","8,178.01","946.25","9,124.26","-8,072.93"
"1999","December","17,316.53","198.33","17,514.86","8,812.23","821.60","9,633.83","-7,881.03"
"1999","November","19,417.88","1,363.57","20,781.46","8,952.68","907.38","9,860.06","-10,921.40"
"1999","October","13,770.29","208.09","13,978.37","8,693.49","895.79","9,589.28","-4,389.09"
"1999","September","16,891.43","527.89","17,419.32","9,245.61","865.68","10,111.30","-7,308.02"
"1999","August","15,309.02","85.49","15,394.51","8,969.13","508.45","9,477.58","-5,916.93"
"1999","July","14,802.11","1,155.73","15,957.84","9,947.67","453.26","10,400.94","-5,556.90"
"1999","June","14,041.45","102.00","14,143.45","11,458.19","510.10","11,968.29","-2,175.16"
"1999","May","14,231.39","551.37","14,782.75","9,535.02","314.63","9,849.65","-4,933.10"
"1999","April","15,396.92","341.98","15,738.90","9,760.29","394.02","10,154.31","-5,584.59"
"1999","March","17,326.37","659.12","17,985.49","11,370.64","540.75","11,911.40","-6,074.09"
"1999","February","16,335.01","986.63","17,321.64","10,205.38","409.11","10,614.49","-6,707.15"
"1999","January","13,040.65","412.25","13,452.90","8,455.96","550.80","9,006.75","-4,446.15"
"1998","December","17,529.81","516.13","18,045.94","9,079.32","517.33","9,596.66","-8,449.28"
"1998","November","13,424.42","395.24","13,819.65","8,633.71","455.17","9,088.89","-4,730.77"
"1998","October","16,189.14","980.93","17,170.07","9,310.95","572.66","9,883.61","-7,286.46"
"1998","September","16,438.24","511.11","16,949.35","9,222.37","639.03","9,861.40","-7,087.95"
"1998","August","14,786.66","736.34","15,522.99","8,642.42","506.74","9,149.16","-6,373.83"
